wave,flux
4164.78,1.000256
4165.741,0.9927535
4166.702,0.9941653
4167.663,0.9942036
4168.624,0.9901166
4169.585,0.9862986
4170.546,0.9856864
4171.508,0.9877664
4172.469,0.9865339
4173.43,0.9810908
4174.391,0.9757762
4175.352,0.9772475
4176.313,0.9801523
4177.274,0.9791211
4178.235,0.9824536
4179.197,0.9830065
4180.158,0.9695093
4181.119,0.9647316
4182.08,0.9630166
4183.041,0.9463067
4184.002,0.937446
4184.963,0.9388261
4185.925,0.9337479
4186.886,0.9357641
4187.847,0.9481634
4188.808,0.9512294
4189.769,0.9383555
4190.73,0.931949
4191.691,0.9454201
4192.652,0.9528637
4193.614,0.9456623
4194.575,0.9467975
4195.536,0.9471925
4196.497,0.943377
4197.458,0.9372998
4198.419,0.9374455
4199.38,0.9299162
4200.342,0.918975
4201.303,0.9264286
4202.264,0.9271747
4203.225,0.9299939
4204.186,0.9403642
4205.147,0.9449341
4206.108,0.9489684
4207.069,0.9293853
4208.031,0.9350988
4208.992,0.9275122
4209.953,0.9296071
4210.914,0.9336636
4211.875,0.9266046
4212.836,0.9186698
4213.797,0.9118739
4214.759,0.9203683
4215.72,0.9221931
4216.681,0.9275871
4217.642,0.9207812
4218.603,0.9279117
4219.564,0.9399628
4220.525,0.9474451
4221.486,0.9564633
4222.448,0.9398251
4223.409,0.9212165
4224.37,0.9105158
4225.331,0.9017791
4226.292,0.9075115
4227.253,0.9170402
4228.214,0.9112478
4229.176,0.900875
4230.137,0.9085876
4231.098,0.913498
4232.059,0.910189
4233.02,0.9127277
4233.981,0.8990704
4234.942,0.8904018
4235.903,0.8895687
4236.865,0.8770599
4237.826,0.8742119
4238.787,0.8760635
4239.748,0.8785239
4240.709,0.8822858
4241.67,0.8820121
4242.631,0.8799354
4243.593,0.8655434
4244.554,0.8623183
4245.515,0.8624601
4246.476,0.8682917
4247.437,0.8658416
4248.398,0.8537472
4249.359,0.8421397
4250.32,0.8467177
4251.282,0.8577957
4252.243,0.8689208
4253.204,0.8733253
4254.165,0.8675289
4255.126,0.8565254
4256.087,0.8603969
4257.048,0.8571496
4258.01,0.8676401
4258.971,0.8750107
4259.932,0.8582857
4260.893,0.8472794
4261.854,0.8469111
4262.815,0.845816
4263.776,0.8451567
4264.737,0.851483
4265.699,0.8449528
4266.66,0.8249001
4267.621,0.8170468
4268.582,0.7963957
4269.543,0.7912186
4270.504,0.7780336
4271.465,0.771986
4272.427,0.7639986
4273.388,0.7665752
4274.349,0.7787514
4275.31,0.7694543
4276.271,0.7682835
4277.232,0.7730961
4278.193,0.7837299
4279.154,0.7871259
4280.116,0.7779475
4281.077,0.7548859
4282.038,0.7482266
